Numero de orden|Palco|Nombre del comercio|Evento|Fecha|Total|Producto|Categoria|Talle|Cantidad|Precio Unitario|Total Producto|Correo del Comprador|Telefono del Comprador|N de identificacion del Comprador|Cantidad restante de beneficio|Metodo de pago|Ultimos digitos de la tarjeta|Dispositivo Clover|Delivery|Estado de facturacion|Estado
367858||GB - ILHA 3|Sin Especificar|2026-01-17 12:07:53|10|Refrigerante|Bebidas sem álcool|-|1|10|10|||-|-|QR - Pix| |Flex 4   Serial: C046LG52836389||-|2
367880||GB - ILHA 3|Sin Especificar|2026-01-17 13:08:22|15|Coxão|Alimentos|-|1|15|15|||-|-|Efectivo||Flex 4   Serial: C046LG51944848||-|8
367883||GB - ILHA 3|Sin Especificar|2026-01-17 13:13:49|10|Refrigerante|Bebidas sem álcool|-|1|10|10|||-|-|Tarjeta - Mastercard Credi|7089|Flex 4   Serial: C046LG51944848||-|8
367888||GB - ILHA 3|Sin Especificar|2026-01-17 13:23:41|10|Refrigerante|Bebidas sem álcool|-|1|10|10|||-|-|QR - Pix| |Flex 4   Serial: C046LG52836389||-|2
367893||GB - ILHA 3|Sin Especificar|2026-01-17 13:30:37|8|Água|Bebidas sem álcool|-|1|8|8|||-|-|QR - Pix| |Flex 4   Serial: C046LG51944848||-|8
367922||GB - ILHA 3|Sin Especificar|2026-01-17 14:14:44|10|Refrigerante|Bebidas sem álcool|-|1|10|10|||-|-|QR - Pix| |Flex 4   Serial: C046LG52836389||-|2
367985||GB - ILHA 3|Sin Especificar|2026-01-17 15:00:40|45|Água de coco 300ml|Bebidas sem álcool|-|1|10|10|||-|-|Tarjeta - Visa Credito|9645|Flex 4   Serial: C046LG52836389||-|2
367985||GB - ILHA 3|Sin Especificar|2026-01-17 15:00:40|45|Crepe francês|Alimentos|-|1|35|35|||-|-|Tarjeta - Visa Credito|9645|Flex 4   Serial: C046LG52836389||-|2
367992||GB - ILHA 3|Sin Especificar|2026-01-17 15:04:05|136|Pipoca To De Boa|Alimentos|-|3|20|60|||-|-|Tarjeta - Visa Credito|9117|Flex 4   Serial: C046LG52836389||-|2
367992||GB - ILHA 3|Sin Especificar|2026-01-17 15:04:05|136|Itaipava Pilsen 350ml|Cervejas|-|2|12|24|||-|-|Tarjeta - Visa Credito|9117|Flex 4   Serial: C046LG52836389||-|2
367992||GB - ILHA 3|Sin Especificar|2026-01-17 15:04:05|136|Refrigerante|Bebidas sem álcool|-|2|10|20|||-|-|Tarjeta - Visa Credito|9117|Flex 4   Serial: C046LG52836389||-|2
367992||GB - ILHA 3|Sin Especificar|2026-01-17 15:04:05|136|Água|Bebidas sem álcool|-|4|8|32|||-|-|Tarjeta - Visa Credito|9117|Flex 4   Serial: C046LG52836389||-|2
368092||GB - ILHA 3|Sin Especificar|2026-01-17 15:30:31|40|Pipoca To De Boa|Alimentos|-|2|20|40|||-|-|Tarjeta - Visa Debito|4234|Flex 4   Serial: C046LG52836389||-|2
368100||GB - ILHA 3|Sin Especificar|2026-01-17 15:31:50|52|Pipoca To De Boa|Alimentos|-|2|20|40|||-|-|Tarjeta - Elo Credit|7870|Flex 4   Serial: C046LG52836389||-|2
368100||GB - ILHA 3|Sin Especificar|2026-01-17 15:31:50|52|Água|Bebidas sem álcool|-|2|8|12|||-|-|Tarjeta - Elo Credit|7870|Flex 4   Serial: C046LG52836389||-|2
368123||GB - ILHA 3|Sin Especificar|2026-01-17 15:36:05|120|Pipoca To De Boa|Alimentos|-|2|20|40|||-|-|Tarjeta - Mastercard Credi|2512|Flex 4   Serial: C046LG52836389||-|2
368123||GB - ILHA 3|Sin Especificar|2026-01-17 15:36:05|120|Black Princess 350ml|Cervejas|-|2|14|28|||-|-|Tarjeta - Mastercard Credi|2512|Flex 4   Serial: C046LG52836389||-|2
368123||GB - ILHA 3|Sin Especificar|2026-01-17 15:36:05|120|Itaipava Premium 350ml|Cervejas|-|2|14|28|||-|-|Tarjeta - Mastercard Credi|2512|Flex 4   Serial: C046LG52836389||-|2
368123||GB - ILHA 3|Sin Especificar|2026-01-17 15:36:05|120|Água|Bebidas sem álcool|-|3|8|24|||-|-|Tarjeta - Mastercard Credi|2512|Flex 4   Serial: C046LG52836389||-|2
368133||GB - ILHA 3|Sin Especificar|2026-01-17 15:37:58|8|Água|Bebidas sem álcool|-|1|8|8|||-|-|Efectivo||Flex 4   Serial: C046LG51944863||-|2
368190||GB - ILHA 3|Sin Especificar|2026-01-17 15:45:34|52|Refrigerante|Bebidas sem álcool|-|1|10|10|||-|-|Tarjeta - Visa Debito|1395|Flex 4   Serial: C046LG52836389||-|2
368190||GB - ILHA 3|Sin Especificar|2026-01-17 15:45:34|52|X Burguer|Alimentos|-|2|15|30|||-|-|Tarjeta - Visa Debito|1395|Flex 4   Serial: C046LG52836389||-|2
368190||GB - ILHA 3|Sin Especificar|2026-01-17 15:45:34|52|Itaipava Pilsen 350ml|Cervejas|-|1|12|12|||-|-|Tarjeta - Visa Debito|1395|Flex 4   Serial: C046LG52836389||-|2
368206||GB - ILHA 3|Sin Especificar|2026-01-17 15:46:59|58|Refrigerante|Bebidas sem álcool|-|1|10|10|||-|-|Tarjeta - Visa Credito|0808|Flex 4   Serial: C046LG52836389||-|2
368206||GB - ILHA 3|Sin Especificar|2026-01-17 15:46:59|58|Petra 350ml|Cervejas|-|1|13|13|||-|-|Tarjeta - Visa Credito|0808|Flex 4   Serial: C046LG52836389||-|2
368206||GB - ILHA 3|Sin Especificar|2026-01-17 15:46:59|58|Água Tônica 350ml|Bebidas sem álcool|-|1|10|10|||-|-|Tarjeta - Visa Credito|0808|Flex 4   Serial: C046LG52836389||-|2
368206||GB - ILHA 3|Sin Especificar|2026-01-17 15:46:59|58|Dose Gin|Doses|-|1|25|25|||-|-|Tarjeta - Visa Credito|0808|Flex 4   Serial: C046LG52836389||-|2
368211||GB - ILHA 3|Sin Especificar|2026-01-17 15:47:36|43|Kibe|Alimentos|-|1|15|15|||-|-|Tarjeta - Visa Credito|0364|Flex 4   Serial: C046LG51944863||-|2
368211||GB - ILHA 3|Sin Especificar|2026-01-17 15:47:36|43|Black Princess 350ml|Cervejas|-|2|14|28|||-|-|Tarjeta - Visa Credito|0364|Flex 4   Serial: C046LG51944863||-|2
368213||GB - ILHA 3|Sin Especificar|2026-01-17 15:47:53|35|Crepe francês|Alimentos|-|1|35|35|||-|-|Tarjeta - Mastercard Credi|8029|Flex 4   Serial: C046LG52836389||-|2
